cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,current_zscore,projected_zscore,projected_hi,projected_lo,category,indicator,timestamp,simulations
2020,President,polls-plus,9/28/2020,Trump,Biden,"",2.891383,2.784525,3.375255,2.193795,income,Real disposable personal income,22:13:03 28 Sep 2020,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,"",-.4379682,-.2575843,.1601247,-.6752934,combined,Average of all six indicators,22:13:03 28 Sep 2020,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,"",.6333736,.563939,1.160025,-.0321474,stock market,S&P 500,20:00:04 27 Sep 2020,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,"",-1.979027,-1.542668,-.9465815,-2.138754,spending,Personal consumption expenditures,20:00:04 27 Sep 2020,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,"",-1.62591,-1.274158,-.6780716,-1.870245,manufacturing,Industrial production,20:00:04 27 Sep 2020,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,"",-3.260423,-2.838318,-2.242231,-3.434404,jobs,Nonfarm payrolls,20:00:04 27 Sep 2020,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,"",.6025671,.6559903,1.252077,.0599038,inflation,Consumer price index,20:00:04 27 Sep 2020,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,"",2.891383,2.779399,3.375485,2.183312,income,Real disposable personal income,20:00:04 27 Sep 2020,40000
2020,President,polls-plus,9/27/2020,Trump,Biden,"",-.4563393,-.2759693,.1455275,-.6974661,combined,Average of all six indicators,20:00:04 27 Sep 2020,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,"",.6333736,.5620031,1.163488,-.0394815,stock market,S&P 500,19:00:04 26 Sep 2020,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,"",-1.979027,-1.531183,-.9296981,-2.132667,spending,Personal consumption expenditures,19:00:04 26 Sep 2020,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,"",-1.62591,-1.26496,-.6634755,-1.866445,manufacturing,Industrial production,19:00:04 26 Sep 2020,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,"",-3.260423,-2.826679,-2.225194,-3.428163,jobs,Nonfarm payrolls,19:00:04 26 Sep 2020,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,"",.6025671,.6574193,1.258904,.0559348,inflation,Consumer price index,19:00:04 26 Sep 2020,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,"",2.891383,2.775597,3.377082,2.174113,income,Real disposable personal income,19:00:04 26 Sep 2020,40000
2020,President,polls-plus,9/26/2020,Trump,Biden,"",-.4563393,-.2713003,.1540135,-.6966141,combined,Average of all six indicators,19:00:04 26 Sep 2020,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,"",.6333736,.5600671,1.16695,-.0468155,stock market,S&P 500,22:17:03 25 Sep 2020,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,"",-1.979027,-1.519697,-.9128149,-2.12658,spending,Personal consumption expenditures,22:17:03 25 Sep 2020,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,"",-1.62591,-1.255762,-.6488794,-1.862645,manufacturing,Industrial production,22:17:03 25 Sep 2020,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,"",-3.260423,-2.815039,-2.208157,-3.421922,jobs,Nonfarm payrolls,22:17:03 25 Sep 2020,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,"",.6025671,.6588483,1.265731,.0519657,inflation,Consumer price index,22:17:03 25 Sep 2020,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,"",2.891383,2.771795,3.378678,2.164913,income,Real disposable personal income,22:17:03 25 Sep 2020,40000
2020,President,polls-plus,9/25/2020,Trump,Biden,"",-.4563393,-.2666313,.1624995,-.6957622,combined,Average of all six indicators,22:17:03 25 Sep 2020,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,"",.5230193,.4502226,1.062413,-.1619673,stock market,S&P 500,19:10:02 24 Sep 2020,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,"",-1.979027,-1.519978,-.9077879,-2.132168,spending,Personal consumption expenditures,19:10:02 24 Sep 2020,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,"",-1.62591,-1.259602,-.6474122,-1.871792,manufacturing,Industrial production,19:10:02 24 Sep 2020,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,"",-3.260423,-2.810377,-2.198187,-3.422567,jobs,Nonfarm payrolls,19:10:02 24 Sep 2020,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,"",.6025671,.6602774,1.272467,.0480875,inflation,Consumer price index,19:10:02 24 Sep 2020,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,"",2.891383,2.766504,3.378694,2.154315,income,Real disposable personal income,19:10:02 24 Sep 2020,40000
2020,President,polls-plus,9/24/2020,Trump,Biden,"",-.4747317,-.2854921,.1473915,-.7183757,combined,Average of all six indicators,19:10:02 24 Sep 2020,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,"",.5054775,.4313202,1.049008,-.1863675,stock market,S&P 500,20:53:03 23 Sep 2020,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,"",-1.979027,-1.510577,-.8928892,-2.128264,spending,Personal consumption expenditures,20:53:03 23 Sep 2020,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,"",-1.62591,-1.25274,-.6350527,-1.870428,manufacturing,Industrial production,20:53:03 23 Sep 2020,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,"",-3.260423,-2.799992,-2.182304,-3.41768,jobs,Nonfarm payrolls,20:53:03 23 Sep 2020,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,"",.6025671,.6617064,1.279394,.0440187,inflation,Consumer price index,20:53:03 23 Sep 2020,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,"",2.891383,2.762429,3.380117,2.144741,income,Real disposable personal income,20:53:03 23 Sep 2020,40000
2020,President,polls-plus,9/23/2020,Trump,Biden,"",-.4776554,-.2846422,.1521289,-.7214134,combined,Average of all six indicators,20:53:03 23 Sep 2020,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,"",.6787787,.5989662,1.221825,-.0238922,stock market,S&P 500,19:00:04 22 Sep 2020,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,"",-1.979027,-1.479853,-.8569943,-2.102711,spending,Personal consumption expenditures,19:00:04 22 Sep 2020,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,"",-1.62591,-1.222176,-.5993176,-1.845034,manufacturing,Industrial production,19:00:04 22 Sep 2020,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,"",-3.260423,-2.776912,-2.154054,-3.399771,jobs,Nonfarm payrolls,19:00:04 22 Sep 2020,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,"",.6025671,.6631354,1.285994,.040277,inflation,Consumer price index,19:00:04 22 Sep 2020,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,"",2.891383,2.761079,3.383938,2.138221,income,Real disposable personal income,19:00:04 22 Sep 2020,40000
2020,President,polls-plus,9/22/2020,Trump,Biden,"",-.4487718,-.2426267,.1978007,-.6830541,combined,Average of all six indicators,19:00:04 22 Sep 2020,40000
2020,President,polls-plus,9/21/2020,Trump,Biden,"",.6074108,.5275533,1.155801,-.1006941,stock market,S&P 500,19:00:04 21 Sep 2020,40000
